Category 1	Category 2	Category 3	Category 4	Categories	URL Priority	Company	Department	Company and Department	Description	URL
Internet	Search Engine			Internet / Search Engine	1	DogPile		DogPile		http://www.dogpile.com/
Internet	Search Engine			Internet / Search Engine	1	Google		Google		http://www.google.com
Internet	Search Engine			Internet / Search Engine	1	Yahoo		Yahoo		http://www.yahoo.com/
Shopping				Shopping	1	Amazon.com		Amazon.com		http://www.amazon.com/exec/obidos/redirect-home/reasontorock-20
Shopping				Shopping	1	Buy.com		Buy.com		http://www.buy.com
Shopping	Books			Shopping / Books	1	B&N Tech. Books		B&N Tech. Books		http://btob.bn.com/index.asp?SourceId=0039357124&Btob=Y
Shopping	Books			Shopping / Books	1	Barnes & Noble		Barnes & Noble		http://www.bn.com
Shopping	Books			Shopping / Books	1	Borders		Borders		http://www.borders.com
Shopping	Books	Mystery		Shopping / Books / Mystery	2	Poisoned Pen		Poisoned Pen		http://www.poisonedpen.com/
Shopping	Computing			Shopping / Computing	1	Insight.com		Insight.com		http://www.insight.com/web/index.php
Shopping	Computing			Shopping / Computing	1	MacZones		MacZones		http://www.zones.com/cgi-bin/zones/site/home/index.html?zone=mac
Shopping	Household			Shopping / Household	2	Water Filters Online		Water Filters Online		http://waterfiltersonline.com/
Sports				Sports	1	AZ Diamondbacks		AZ Diamondbacks		http://arizona.diamondbacks.mlb.com/NASApp/mlb/ari/homepage/ari_homepage.jsp
Travel				Travel	1	Travelocity		Travelocity		http://www.travelocity.com
Travel	Dogs			Travel / Dogs	2	DogFriendly		DogFriendly		http://www.dogfriendly.com/
Travel	Dogs			Travel / Dogs	2	PetsWelcome		PetsWelcome		http://www.petswelcome.com/
